record_id,date,customer_segment,acquisition_channel,region,active_users,sessions,feature_adoptions,data_loaded_at,source_system
2026-04-02|Enterprise|Paid Search|APAC,2026-04-02,Enterprise,Paid Search,APAC,169,395,80,2026-04-03 12:00:00,Synthetic product + billing events
2026-04-02|Enterprise|Partner|North America,2026-04-02,Enterprise,Partner,North America,220,471,102,2026-04-03 12:00:00,Synthetic product + billing events
2026-04-02|Enterprise|Partner|EMEA,2026-04-02,Enterprise,Partner,EMEA,159,347,72,2026-04-03 12:00:00,Synthetic product + billing events
2026-04-02|Enterprise|Partner|APAC,2026-04-02,Enterprise,Partner,APAC,116,273,52,2026-04-03 12:00:00,Synthetic product + billing events
2026-04-03|SMB|Organic|North America,2026-04-03,SMB,Organic,North America,1216,2598,434,2026-04-04 12:00:00,Synthetic product + billing events
2026-04-03|SMB|Organic|EMEA,2026-04-03,SMB,Organic,EMEA,845,1851,287,2026-04-04 12:00:00,Synthetic product + billing events
2026-04-03|SMB|Organic|APAC,2026-04-03,SMB,Organic,APAC,737,1751,267,2026-04-04 12:00:00,Synthetic product + billing events
2026-04-03|SMB|Paid Search|North America,2026-04-03,SMB,Paid Search,North America,965,2152,329,2026-04-04 12:00:00,Synthetic product + billing events
2026-04-03|SMB|Paid Search|EMEA,2026-04-03,SMB,Paid Search,EMEA,680,1532,241,2026-04-04 12:00:00,Synthetic product + billing events
2026-04-03|SMB|Paid Search|APAC,2026-04-03,SMB,Paid Search,APAC,539,1261,189,2026-04-04 12:00:00,Synthetic product + billing events
2026-04-03|SMB|Partner|North America,2026-04-03,SMB,Partner,North America,674,1457,246,2026-04-04 12:00:00,Synthetic product + billing events
2026-04-03|SMB|Partner|EMEA,2026-04-03,SMB,Partner,EMEA,474,1069,165,2026-04-04 12:00:00,Synthetic product + billing events
2026-04-03|SMB|Partner|APAC,2026-04-03,SMB,Partner,APAC,399,854,141,2026-04-04 12:00:00,Synthetic product + billing events
2026-04-03|Mid-Market|Organic|North America,2026-04-03,Mid-Market,Organic,North America,757,1655,278,2026-04-04 12:00:00,Synthetic product + billing events
2026-04-03|Mid-Market|Organic|EMEA,2026-04-03,Mid-Market,Organic,EMEA,553,1256,199,2026-04-04 12:00:00,Synthetic product + billing events
2026-04-03|Mid-Market|Organic|APAC,2026-04-03,Mid-Market,Organic,APAC,428,1008,156,2026-04-04 12:00:00,Synthetic product + billing events
2026-04-03|Mid-Market|Paid Search|North America,2026-04-03,Mid-Market,Paid Search,North America,669,1585,240,2026-04-04 12:00:00,Synthetic product + billing events
2026-04-03|Mid-Market|Paid Search|EMEA,2026-04-03,Mid-Market,Paid Search,EMEA,454,1073,161,2026-04-04 12:00:00,Synthetic product + billing events
2026-04-03|Mid-Market|Paid Search|APAC,2026-04-03,Mid-Market,Paid Search,APAC,352,759,125,2026-04-04 12:00:00,Synthetic product + billing events
2026-04-03|Mid-Market|Partner|North America,2026-04-03,Mid-Market,Partner,North America,423,998,151,2026-04-04 12:00:00,Synthetic product + billing events
2026-04-03|Mid-Market|Partner|EMEA,2026-04-03,Mid-Market,Partner,EMEA,317,753,108,2026-04-04 12:00:00,Synthetic product + billing events
2026-04-03|Mid-Market|Partner|APAC,2026-04-03,Mid-Market,Partner,APAC,230,524,84,2026-04-04 12:00:00,Synthetic product + billing events
2026-04-03|Enterprise|Organic|North America,2026-04-03,Enterprise,Organic,North America,391,844,178,2026-04-04 12:00:00,Synthetic product + billing events
2026-04-03|Enterprise|Organic|EMEA,2026-04-03,Enterprise,Organic,EMEA,276,648,127,2026-04-04 12:00:00,Synthetic product + billing events
2026-04-03|Enterprise|Organic|APAC,2026-04-03,Enterprise,Organic,APAC,215,465,99,2026-04-04 12:00:00,Synthetic product + billing events
2026-04-03|Enterprise|Paid Search|North America,2026-04-03,Enterprise,Paid Search,North America,297,698,135,2026-04-04 12:00:00,Synthetic product + billing events
2026-04-03|Enterprise|Paid Search|EMEA,2026-04-03,Enterprise,Paid Search,EMEA,212,494,102,2026-04-04 12:00:00,Synthetic product + billing events
2026-04-03|Enterprise|Paid Search|APAC,2026-04-03,Enterprise,Paid Search,APAC,172,384,82,2026-04-04 12:00:00,Synthetic product + billing events
2026-04-03|Enterprise|Partner|North America,2026-04-03,Enterprise,Partner,North America,198,467,87,2026-04-04 12:00:00,Synthetic product + billing events
2026-04-03|Enterprise|Partner|EMEA,2026-04-03,Enterprise,Partner,EMEA,148,352,70,2026-04-04 12:00:00,Synthetic product + billing events
2026-04-03|Enterprise|Partner|APAC,2026-04-03,Enterprise,Partner,APAC,126,288,55,2026-04-04 12:00:00,Synthetic product + billing events
2026-04-04|SMB|Organic|North America,2026-04-04,SMB,Organic,North America,887,1993,324,2026-04-05 12:00:00,Synthetic product + billing events
2026-04-04|SMB|Organic|EMEA,2026-04-04,SMB,Organic,EMEA,697,1644,242,2026-04-05 12:00:00,Synthetic product + billing events
2026-04-04|SMB|Organic|APAC,2026-04-04,SMB,Organic,APAC,551,1296,196,2026-04-05 12:00:00,Synthetic product + billing events
2026-04-04|SMB|Paid Search|North America,2026-04-04,SMB,Paid Search,North America,743,1667,256,2026-04-05 12:00:00,Synthetic product + billing events
2026-04-04|SMB|Paid Search|EMEA,2026-04-04,SMB,Paid Search,EMEA,550,1172,196,2026-04-05 12:00:00,Synthetic product + billing events
2026-04-04|SMB|Paid Search|APAC,2026-04-04,SMB,Paid Search,APAC,434,1012,150,2026-04-05 12:00:00,Synthetic product + billing events
2026-04-04|SMB|Partner|North America,2026-04-04,SMB,Partner,North America,527,1185,180,2026-04-05 12:00:00,Synthetic product + billing events
2026-04-04|SMB|Partner|EMEA,2026-04-04,SMB,Partner,EMEA,351,743,122,2026-04-05 12:00:00,Synthetic product + billing events
2026-04-04|SMB|Partner|APAC,2026-04-04,SMB,Partner,APAC,289,652,97,2026-04-05 12:00:00,Synthetic product + billing events
2026-04-04|Mid-Market|Organic|North America,2026-04-04,Mid-Market,Organic,North America,548,1188,187,2026-04-05 12:00:00,Synthetic product + billing events
2026-04-04|Mid-Market|Organic|EMEA,2026-04-04,Mid-Market,Organic,EMEA,448,1051,163,2026-04-05 12:00:00,Synthetic product + billing events
2026-04-04|Mid-Market|Organic|APAC,2026-04-04,Mid-Market,Organic,APAC,315,688,111,2026-04-05 12:00:00,Synthetic product + billing events
2026-04-04|Mid-Market|Paid Search|North America,2026-04-04,Mid-Market,Paid Search,North America,510,1191,174,2026-04-05 12:00:00,Synthetic product + billing events
2026-04-04|Mid-Market|Paid Search|EMEA,2026-04-04,Mid-Market,Paid Search,EMEA,333,757,122,2026-04-05 12:00:00,Synthetic product + billing events
2026-04-04|Mid-Market|Paid Search|APAC,2026-04-04,Mid-Market,Paid Search,APAC,284,622,101,2026-04-05 12:00:00,Synthetic product + billing events
2026-04-04|Mid-Market|Partner|North America,2026-04-04,Mid-Market,Partner,North America,331,710,113,2026-04-05 12:00:00,Synthetic product + billing events
2026-04-04|Mid-Market|Partner|EMEA,2026-04-04,Mid-Market,Partner,EMEA,226,495,82,2026-04-05 12:00:00,Synthetic product + billing events
2026-04-04|Mid-Market|Partner|APAC,2026-04-04,Mid-Market,Partner,APAC,197,459,72,2026-04-05 12:00:00,Synthetic product + billing events
2026-04-04|Enterprise|Organic|North America,2026-04-04,Enterprise,Organic,North America,278,599,128,2026-04-05 12:00:00,Synthetic product + billing events
2026-04-04|Enterprise|Organic|EMEA,2026-04-04,Enterprise,Organic,EMEA,208,461,97,2026-04-05 12:00:00,Synthetic product + billing events
2026-04-04|Enterprise|Organic|APAC,2026-04-04,Enterprise,Organic,APAC,164,391,75,2026-04-05 12:00:00,Synthetic product + billing events
2026-04-04|Enterprise|Paid Search|North America,2026-04-04,Enterprise,Paid Search,North America,224,479,104,2026-04-05 12:00:00,Synthetic product + billing events
2026-04-04|Enterprise|Paid Search|EMEA,2026-04-04,Enterprise,Paid Search,EMEA,182,410,86,2026-04-05 12:00:00,Synthetic product + billing events
2026-04-04|Enterprise|Paid Search|APAC,2026-04-04,Enterprise,Paid Search,APAC,141,323,64,2026-04-05 12:00:00,Synthetic product + billing events
2026-04-04|Enterprise|Partner|North America,2026-04-04,Enterprise,Partner,North America,164,348,72,2026-04-05 12:00:00,Synthetic product + billing events
2026-04-04|Enterprise|Partner|EMEA,2026-04-04,Enterprise,Partner,EMEA,114,269,50,2026-04-05 12:00:00,Synthetic product + billing events
2026-04-04|Enterprise|Partner|APAC,2026-04-04,Enterprise,Partner,APAC,91,201,42,2026-04-05 12:00:00,Synthetic product + billing events
2026-04-05|SMB|Organic|North America,2026-04-05,SMB,Organic,North America,962,2171,353,2026-04-06 12:00:00,Synthetic product + billing events
2026-04-05|SMB|Organic|EMEA,2026-04-05,SMB,Organic,EMEA,618,1358,216,2026-04-06 12:00:00,Synthetic product + billing events
2026-04-05|SMB|Organic|APAC,2026-04-05,SMB,Organic,APAC,561,1302,188,2026-04-06 12:00:00,Synthetic product + billing events
2026-04-05|SMB|Paid Search|North America,2026-04-05,SMB,Paid Search,North America,719,1699,249,2026-04-06 12:00:00,Synthetic product + billing events
2026-04-05|SMB|Paid Search|EMEA,2026-04-05,SMB,Paid Search,EMEA,553,1300,196,2026-04-06 12:00:00,Synthetic product + billing events
2026-04-05|SMB|Paid Search|APAC,2026-04-05,SMB,Paid Search,APAC,413,935,148,2026-04-06 12:00:00,Synthetic product + billing events
2026-04-05|SMB|Partner|North America,2026-04-05,SMB,Partner,North America,531,1187,177,2026-04-06 12:00:00,Synthetic product + billing events
2026-04-05|SMB|Partner|EMEA,2026-04-05,SMB,Partner,EMEA,375,819,136,2026-04-06 12:00:00,Synthetic product + billing events
2026-04-05|SMB|Partner|APAC,2026-04-05,SMB,Partner,APAC,310,709,109,2026-04-06 12:00:00,Synthetic product + billing events
2026-04-05|Mid-Market|Organic|North America,2026-04-05,Mid-Market,Organic,North America,578,1341,210,2026-04-06 12:00:00,Synthetic product + billing events
2026-04-05|Mid-Market|Organic|EMEA,2026-04-05,Mid-Market,Organic,EMEA,449,961,164,2026-04-06 12:00:00,Synthetic product + billing events
2026-04-05|Mid-Market|Organic|APAC,2026-04-05,Mid-Market,Organic,APAC,333,735,114,2026-04-06 12:00:00,Synthetic product + billing events
2026-04-05|Mid-Market|Paid Search|North America,2026-04-05,Mid-Market,Paid Search,North America,491,1072,164,2026-04-06 12:00:00,Synthetic product + billing events
2026-04-05|Mid-Market|Paid Search|EMEA,2026-04-05,Mid-Market,Paid Search,EMEA,355,845,127,2026-04-06 12:00:00,Synthetic product + billing events
2026-04-05|Mid-Market|Paid Search|APAC,2026-04-05,Mid-Market,Paid Search,APAC,295,673,100,2026-04-06 12:00:00,Synthetic product + billing events
2026-04-05|Mid-Market|Partner|North America,2026-04-05,Mid-Market,Partner,North America,332,711,120,2026-04-06 12:00:00,Synthetic product + billing events
2026-04-05|Mid-Market|Partner|EMEA,2026-04-05,Mid-Market,Partner,EMEA,229,505,83,2026-04-06 12:00:00,Synthetic product + billing events
2026-04-05|Mid-Market|Partner|APAC,2026-04-05,Mid-Market,Partner,APAC,187,412,67,2026-04-06 12:00:00,Synthetic product + billing events
2026-04-05|Enterprise|Organic|North America,2026-04-05,Enterprise,Organic,North America,300,667,142,2026-04-06 12:00:00,Synthetic product + billing events
2026-04-05|Enterprise|Organic|EMEA,2026-04-05,Enterprise,Organic,EMEA,200,445,88,2026-04-06 12:00:00,Synthetic product + billing events
2026-04-05|Enterprise|Organic|APAC,2026-04-05,Enterprise,Organic,APAC,175,371,81,2026-04-06 12:00:00,Synthetic product + billing events
2026-04-05|Enterprise|Paid Search|North America,2026-04-05,Enterprise,Paid Search,North America,236,501,105,2026-04-06 12:00:00,Synthetic product + billing events
2026-04-05|Enterprise|Paid Search|EMEA,2026-04-05,Enterprise,Paid Search,EMEA,179,422,84,2026-04-06 12:00:00,Synthetic product + billing events
2026-04-05|Enterprise|Paid Search|APAC,2026-04-05,Enterprise,Paid Search,APAC,134,317,63,2026-04-06 12:00:00,Synthetic product + billing events
2026-04-05|Enterprise|Partner|North America,2026-04-05,Enterprise,Partner,North America,154,339,68,2026-04-06 12:00:00,Synthetic product + billing events
2026-04-05|Enterprise|Partner|EMEA,2026-04-05,Enterprise,Partner,EMEA,109,240,48,2026-04-06 12:00:00,Synthetic product + billing events
2026-04-05|Enterprise|Partner|APAC,2026-04-05,Enterprise,Partner,APAC,88,187,42,2026-04-06 12:00:00,Synthetic product + billing events
2026-04-06|SMB|Organic|North America,2026-04-06,SMB,Organic,North America,1258,2949,433,2026-04-07 12:00:00,Synthetic product + billing events
2026-04-06|SMB|Organic|EMEA,2026-04-06,SMB,Organic,EMEA,906,1993,329,2026-04-07 12:00:00,Synthetic product + billing events
2026-04-06|SMB|Organic|APAC,2026-04-06,SMB,Organic,APAC,751,1704,262,2026-04-07 12:00:00,Synthetic product + billing events
2026-04-06|SMB|Paid Search|North America,2026-04-06,SMB,Paid Search,North America,954,2032,342,2026-04-07 12:00:00,Synthetic product + billing events
2026-04-06|SMB|Paid Search|EMEA,2026-04-06,SMB,Paid Search,EMEA,692,1525,254,2026-04-07 12:00:00,Synthetic product + billing events
2026-04-06|SMB|Paid Search|APAC,2026-04-06,SMB,Paid Search,APAC,602,1367,217,2026-04-07 12:00:00,Synthetic product + billing events
2026-04-06|SMB|Partner|North America,2026-04-06,SMB,Partner,North America,684,1552,227,2026-04-07 12:00:00,Synthetic product + billing events
2026-04-06|SMB|Partner|EMEA,2026-04-06,SMB,Partner,EMEA,501,1069,175,2026-04-07 12:00:00,Synthetic product + billing events
2026-04-06|SMB|Partner|APAC,2026-04-06,SMB,Partner,APAC,406,952,142,2026-04-07 12:00:00,Synthetic product + billing events
2026-04-06|Mid-Market|Organic|North America,2026-04-06,Mid-Market,Organic,North America,750,1676,252,2026-04-07 12:00:00,Synthetic product + billing events
2026-04-06|Mid-Market|Organic|EMEA,2026-04-06,Mid-Market,Organic,EMEA,532,1144,193,2026-04-07 12:00:00,Synthetic product + billing events
2026-04-06|Mid-Market|Organic|APAC,2026-04-06,Mid-Market,Organic,APAC,429,958,148,2026-04-07 12:00:00,Synthetic product + billing events
2026-04-06|Mid-Market|Paid Search|North America,2026-04-06,Mid-Market,Paid Search,North America,602,1427,205,2026-04-07 12:00:00,Synthetic product + billing events
2026-04-06|Mid-Market|Paid Search|EMEA,2026-04-06,Mid-Market,Paid Search,EMEA,448,1012,155,2026-04-07 12:00:00,Synthetic product + billing events
2026-04-06|Mid-Market|Paid Search|APAC,2026-04-06,Mid-Market,Paid Search,APAC,340,807,114,2026-04-07 12:00:00,Synthetic product + billing events
2026-04-06|Mid-Market|Partner|North America,2026-04-06,Mid-Market,Partner,North America,451,988,156,2026-04-07 12:00:00,Synthetic product + billing events
2026-04-06|Mid-Market|Partner|EMEA,2026-04-06,Mid-Market,Partner,EMEA,294,640,108,2026-04-07 12:00:00,Synthetic product + billing events
2026-04-06|Mid-Market|Partner|APAC,2026-04-06,Mid-Market,Partner,APAC,230,500,77,2026-04-07 12:00:00,Synthetic product + billing events
2026-04-06|Enterprise|Organic|North America,2026-04-06,Enterprise,Organic,North America,397,904,181,2026-04-07 12:00:00,Synthetic product + billing events
2026-04-06|Enterprise|Organic|EMEA,2026-04-06,Enterprise,Organic,EMEA,260,618,116,2026-04-07 12:00:00,Synthetic product + billing events
2026-04-06|Enterprise|Organic|APAC,2026-04-06,Enterprise,Organic,APAC,208,466,96,2026-04-07 12:00:00,Synthetic product + billing events
2026-04-06|Enterprise|Paid Search|North America,2026-04-06,Enterprise,Paid Search,North America,313,670,138,2026-04-07 12:00:00,Synthetic product + billing events
2026-04-06|Enterprise|Paid Search|EMEA,2026-04-06,Enterprise,Paid Search,EMEA,227,526,101,2026-04-07 12:00:00,Synthetic product + billing events
2026-04-06|Enterprise|Paid Search|APAC,2026-04-06,Enterprise,Paid Search,APAC,192,415,85,2026-04-07 12:00:00,Synthetic product + billing events
2026-04-06|Enterprise|Partner|North America,2026-04-06,Enterprise,Partner,North America,204,459,92,2026-04-07 12:00:00,Synthetic product + billing events
2026-04-06|Enterprise|Partner|EMEA,2026-04-06,Enterprise,Partner,EMEA,161,364,71,2026-04-07 12:00:00,Synthetic product + billing events
2026-04-06|Enterprise|Partner|APAC,2026-04-06,Enterprise,Partner,APAC,114,258,52,2026-04-07 12:00:00,Synthetic product + billing events
2026-04-07|SMB|Organic|North America,2026-04-07,SMB,Organic,North America,1221,2787,442,2026-04-08 12:00:00,Synthetic product + billing events
2026-04-07|SMB|Organic|EMEA,2026-04-07,SMB,Organic,EMEA,895,2016,312,2026-04-08 12:00:00,Synthetic product + billing events
2026-04-07|SMB|Organic|APAC,2026-04-07,SMB,Organic,APAC,749,1739,263,2026-04-08 12:00:00,Synthetic product + billing events
2026-04-07|SMB|Paid Search|North America,2026-04-07,SMB,Paid Search,North America,989,2140,337,2026-04-08 12:00:00,Synthetic product + billing events
2026-04-07|SMB|Paid Search|EMEA,2026-04-07,SMB,Paid Search,EMEA,747,1644,258,2026-04-08 12:00:00,Synthetic product + billing events
2026-04-07|SMB|Paid Search|APAC,2026-04-07,SMB,Paid Search,APAC,546,1210,196,2026-04-08 12:00:00,Synthetic product + billing events
2026-04-07|SMB|Partner|North America,2026-04-07,SMB,Partner,North America,664,1420,228,2026-04-08 12:00:00,Synthetic product + billing events
2026-04-07|SMB|Partner|EMEA,2026-04-07,SMB,Partner,EMEA,468,1046,165,2026-04-08 12:00:00,Synthetic product + billing events
2026-04-07|SMB|Partner|APAC,2026-04-07,SMB,Partner,APAC,363,775,133,2026-04-08 12:00:00,Synthetic product + billing events
2026-04-07|Mid-Market|Organic|North America,2026-04-07,Mid-Market,Organic,North America,724,1562,256,2026-04-08 12:00:00,Synthetic product + billing events
2026-04-07|Mid-Market|Organic|EMEA,2026-04-07,Mid-Market,Organic,EMEA,559,1197,196,2026-04-08 12:00:00,Synthetic product + billing events
2026-04-07|Mid-Market|Organic|APAC,2026-04-07,Mid-Market,Organic,APAC,458,998,157,2026-04-08 12:00:00,Synthetic product + billing events
2026-04-07|Mid-Market|Paid Search|North America,2026-04-07,Mid-Market,Paid Search,North America,600,1376,201,2026-04-08 12:00:00,Synthetic product + billing events
2026-04-07|Mid-Market|Paid Search|EMEA,2026-04-07,Mid-Market,Paid Search,EMEA,440,980,149,2026-04-08 12:00:00,Synthetic product + billing events
2026-04-07|Mid-Market|Paid Search|APAC,2026-04-07,Mid-Market,Paid Search,APAC,390,882,138,2026-04-08 12:00:00,Synthetic product + billing events
2026-04-07|Mid-Market|Partner|North America,2026-04-07,Mid-Market,Partner,North America,433,934,144,2026-04-08 12:00:00,Synthetic product + billing events
2026-04-07|Mid-Market|Partner|EMEA,2026-04-07,Mid-Market,Partner,EMEA,303,720,104,2026-04-08 12:00:00,Synthetic product + billing events
2026-04-07|Mid-Market|Partner|APAC,2026-04-07,Mid-Market,Partner,APAC,242,526,83,2026-04-08 12:00:00,Synthetic product + billing events
2026-04-07|Enterprise|Organic|North America,2026-04-07,Enterprise,Organic,North America,411,977,189,2026-04-08 12:00:00,Synthetic product + billing events
2026-04-07|Enterprise|Organic|EMEA,2026-04-07,Enterprise,Organic,EMEA,277,642,126,2026-04-08 12:00:00,Synthetic product + billing events
2026-04-07|Enterprise|Organic|APAC,2026-04-07,Enterprise,Organic,APAC,226,508,99,2026-04-08 12:00:00,Synthetic product + billing events
2026-04-07|Enterprise|Paid Search|North America,2026-04-07,Enterprise,Paid Search,North America,321,722,150,2026-04-08 12:00:00,Synthetic product + billing events
2026-04-07|Enterprise|Paid Search|EMEA,2026-04-07,Enterprise,Paid Search,EMEA,239,561,107,2026-04-08 12:00:00,Synthetic product + billing events
2026-04-07|Enterprise|Paid Search|APAC,2026-04-07,Enterprise,Paid Search,APAC,185,408,89,2026-04-08 12:00:00,Synthetic product + billing events
2026-04-07|Enterprise|Partner|North America,2026-04-07,Enterprise,Partner,North America,215,469,100,2026-04-08 12:00:00,Synthetic product + billing events
2026-04-07|Enterprise|Partner|EMEA,2026-04-07,Enterprise,Partner,EMEA,159,370,70,2026-04-08 12:00:00,Synthetic product + billing events
2026-04-07|Enterprise|Partner|APAC,2026-04-07,Enterprise,Partner,APAC,131,290,61,2026-04-08 12:00:00,Synthetic product + billing events
2026-04-08|SMB|Organic|North America,2026-04-08,SMB,Organic,North America,1266,2826,454,2026-04-09 12:00:00,Synthetic product + billing events
